,workidmain,actualtimemain,warehouse,targetlicenseplateid,multiplesku,createddateandtimemain,closedworkmain,workinprocessmain,workstatusmain,companymain,workordertypemain,useridmain,actualtime,containerid,dimensionnumber,inventoryquantityremaining,inventoryworkquantity,lotid,itemnumber,configid,linenumber,loadid,locatedlicenseplateid,ordernumber,remainingquantity,workquantity,shipmentid,skipped,sortcode,unit,userid,location,workclassid,workid,createddateandtime,closedwork,workinprocess,workstatus,stoptransaction,worktype,zoneid,extrainventoryquantity,weightcaptured,company,modified,modifiedon,worktemplate,workordertype,dateadded,total_cases,CLOSEDWORK_seconds,WORKINPROCESS_seconds,increase_percentage_quantity
205,WOR1968445,52,RETAIL,6316561018738810,0,2022-01-26 19:30:28,2022-01-27 12:26:31,2022-01-27 12:25:38,4,301,2,D365.Batch,7,0.0,#0000000150FBF7C5,0,1,LO05145297,N000005644,Base,3,LD0115010,0.0,SON0118300,0,1,SID0115836,0,0,Each,meliha,PACK1,SALES,WOR1968445,2022-01-26 19:30:28,2022-01-27 12:26:31,2022-01-27 12:26:24,4,0,2,0,0,0,301,warehouseapp.d365,2022-01-27 12:26:31,Retail Picking,2,2023-02-02 14:08:07.500,1.0,2043861.0,2043854.0,-1178.3284982698208
93,WOR2511099,1572,RETAIL,6316561020787340,0,2022-12-05 14:30:34,2022-12-05 17:37:05,2022-12-05 17:10:53,4,301,2,D365.Batch,46,0.0,#000000015149070F,0,1,LO09449340,N000012990,Base,19,LD0154098,0.0,SON0165659,0,1,SID0156243,0,0,Each,Carolyn,X4401D6,SALES,WOR2511099,2022-12-05 14:30:34,2022-12-05 17:34:38,2022-12-05 17:33:52,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-12-05 17:34:38,Retail Picking,2,2023-02-02 14:08:07.500,1.0,29019148.0,29019102.0,570.0896679580684
386,WOR2413703,334,RETAIL,6316561020483750,0,2022-10-06 15:00:40,2022-10-07 19:41:39,2022-10-07 19:36:05,4,301,2,D365.Batch,73,0.0,#00000001514BDA6C,0,1,LO08782936,N000001144,V8,1,LD0149517,0.0,SON0158711,0,1,SID0151369,0,0,Each,rschwarz,X4401A6,SALES,WOR2413703,2022-10-06 15:00:40,2022-10-07 19:37:18,2022-10-07 19:36:05,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-07 19:37:18,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23928908.0,23928835.0,252.43990797331213
260,WOR2042476,253,RETAIL,6316561019044800,0,2022-03-08 16:30:51,2022-03-08 16:44:25,2022-03-08 16:40:12,4,301,2,D365.Batch,54,0.0,#0000000150F7EA6B,0,2,LO05764807,N000004966,Base,2,LD0121404,0.0,SON0125186,0,2,SID0122301,0,0,Each,rschwarz,X4401D2,SALES,WOR2042476,2022-03-08 16:30:51,2022-03-08 16:42:28,2022-03-08 16:41:34,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-03-08 16:42:28,Retail Picking,2,2023-02-02 14:08:07.500,2.0,5515218.0,5515164.0,-1187.5419659268186
453,WOR2002051,38,RETAIL,6316561018878900,0,2022-02-15 16:00:37,2022-02-15 17:51:08,2022-02-15 17:50:29,4,301,2,D365.Batch,9,0.0,#0000000150DEB9D5,0,1,LO05449324,N000000157,V11,3,LD0118152,0.0,SON0121806,0,1,SID0119008,0,0,Each,meliha,PACK1,SALES,WOR2002051,2022-02-15 16:00:37,2022-02-15 17:51:08,2022-02-15 17:50:59,4,0,2,0,0,0,301,warehouseapp.d365,2022-02-15 17:51:08,Retail Picking,2,2023-02-02 14:08:07.500,1.0,3704938.0,3704929.0,705.7793976187095
312,WOR2050210,145,RETAIL,6316561019066990,0,2022-03-10 20:31:19,2022-03-11 13:36:13,2022-03-11 13:33:48,4,301,2,D365.Batch,97,0.0,#00000001509F5340,0,1,LO05818581,N000001130,V13,1,LD0121803,0.0,SON0125626,0,1,SID0122747,0,0,Each,carolyn,X4401B5,SALES,WOR2050210,2022-03-10 20:31:20,2022-03-11 13:35:25,2022-03-11 13:33:48,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-03-11 13:35:25,Retail Picking,2,2023-02-02 14:08:07.500,1.0,5763195.0,5763098.0,-83.93522742047604
480,WOR2411759,266,RETAIL,6316561020471110,0,2022-10-05 18:30:35,2022-10-06 13:11:37,2022-10-06 13:07:11,4,301,2,D365.Batch,57,0.0,#00000001514C1ABD,0,1,LO08769433,N000010989,V1,2,LD0149305,0.0,SON0158480,0,1,SID0151127,0,0,Each,yahaira,X4401A6,SALES,WOR2411759,2022-10-05 18:30:36,2022-10-06 13:08:48,2022-10-06 13:07:51,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-06 13:08:48,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23819198.0,23819141.0,1033.1154398888905
333,WOR2043336,1029,RETAIL,6316561019047430,0,2022-03-08 20:00:56,2022-03-08 20:58:06,2022-03-08 20:36:27,4,301,2,D365.Batch,136,0.0,#00000001510641DE,0,6,LO05765739,N000006797,V1,10,LD0121431,0.0,SON0125191,0,6,SID0122305,0,0,Each,carolyn,F8101D2,SALES,WOR2043336,2022-03-08 20:00:56,2022-03-08 20:42:13,2022-03-08 20:39:57,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-03-08 20:42:13,Retail Picking,2,2023-02-02 14:08:07.500,6.0,5529603.0,5529467.0,-12110.570501263817
64,WOR2466301,82,RETAIL,6316561020642800,0,2022-11-07 18:00:38,2022-11-07 19:09:24,2022-11-07 19:08:02,4,301,2,D365.Batch,7,0.0,#000000015149070F,0,1,LO09163535,N000012990,Base,3,LD0152233,0.0,SON0162963,0,1,SID0154177,0,0,Each,Carolyn,PACK1,SALES,WOR2466301,2022-11-07 18:00:38,2022-11-07 19:09:24,2022-11-07 19:09:17,4,0,2,0,0,0,301,warehouseapp.d365,2022-11-07 19:09:24,Retail Picking,2,2023-02-02 14:08:07.500,1.0,26605634.0,26605627.0,-15852.846924646756
117,WOR2412441,264,RETAIL,6316561020490700,0,2022-10-06 05:00:39,2022-10-10 19:25:50,2022-10-10 19:21:26,4,301,2,D365.Batch,24,0.0,#00000001514C18D4,0,1,LO08778929,N000013234,Base,4,LD0149414,0.0,SON0158598,0,1,SID0151237,0,0,Each,rschwarz,X4401A6,SALES,WOR2412441,2022-10-06 05:00:39,2022-10-10 19:25:32,2022-10-10 19:25:08,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-10 19:25:32,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24187402.0,24187378.0,-229.19056862411122
