,workidmain,actualtimemain,warehouse,targetlicenseplateid,multiplesku,createddateandtimemain,closedworkmain,workinprocessmain,workstatusmain,companymain,workordertypemain,useridmain,actualtime,containerid,dimensionnumber,inventoryquantityremaining,inventoryworkquantity,lotid,itemnumber,configid,linenumber,loadid,locatedlicenseplateid,ordernumber,remainingquantity,workquantity,shipmentid,skipped,sortcode,unit,userid,location,workclassid,workid,createddateandtime,closedwork,workinprocess,workstatus,stoptransaction,worktype,zoneid,extrainventoryquantity,weightcaptured,company,modified,modifiedon,worktemplate,workordertype,dateadded,total_cases,CLOSEDWORK_seconds,WORKINPROCESS_seconds,increase_percentage_quantity
200,WOR2153684,2317,RETAIL,6316561019454410,0,2022-05-04 19:00:53,2022-05-05 11:49:13,2022-05-05 11:06:37,4,301,2,D365.Batch,82,0.0,#0000000150A4CE9E,0,1,LO06654219,N000005126,Base,4,LD0128873,0.0,SON0133043,0,1,SID0130082,0,0,Each,Carolyn,F8401C4,SALES,WOR2153684,2022-05-04 19:00:53,2022-05-05 11:12:42,2022-05-05 11:11:20,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-05-05 11:12:42,Retail Picking,2,2023-02-02 14:08:07.500,1.0,10506632.0,10506550.0,-404.4277096374774
306,WOR2350338,235,RETAIL,6316561020215530,0,2022-08-30 16:00:13,2022-08-31 11:04:26,2022-08-31 11:00:31,4,301,2,D365.Batch,52,0.0,#000000015139423E,0,1,LO08280708,N000005776,V1,1,LD0144673,0.0,SON0152970,0,1,SID0146470,0,0,Each,gregn,F8501B4,SALES,WOR2350338,2022-08-30 16:00:14,2022-08-31 11:01:23,2022-08-31 11:00:31,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-08-31 11:01:23,Retail Picking,2,2023-02-02 14:08:07.500,1.0,20701153.0,20701101.0,-954.0306667015088
564,WOR2006739,779,RETAIL,6316561018906920,0,2022-02-17 17:00:47,2022-02-18 15:08:43,2022-02-18 14:00:41,4,301,2,D365.Batch,106,0.0,#0000000150A72CD4,0,75,LO05480648,N000008252,Base,7,LD0118646,0.0,SON0122121,0,75,SID0119523,0,0,Each,carolyn,F8001D4,SALES,WOR2006739,2022-02-17 17:00:47,2022-02-18 14:10:26,2022-02-18 14:08:40,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-02-18 14:10:26,Retail Picking,2,2023-02-02 14:08:07.500,75.0,3950896.0,3950790.0,388.83850665616353
108,WOR2466301,82,RETAIL,6316561020642800,0,2022-11-07 18:00:38,2022-11-07 19:09:24,2022-11-07 19:08:02,4,301,2,D365.Batch,0,0.0,#000000015149070F,0,1,LO09163535,N000012990,Base,2,LD0152233,0.0,SON0162963,0,1,SID0154177,0,0,Each,Carolyn,0,SALES,WOR2466301,2022-11-07 18:00:38,2022-11-07 19:09:17,2022-11-07 19:09:17,4,0,8,0,0,0,301,warehouseapp.d365,2022-11-07 19:09:17,Retail Picking,2,2023-02-02 14:08:07.500,1.0,26605627.0,26605627.0,-2951.7993513942647
321,WOR2020629,1109,RETAIL,6316561018976580,0,2022-02-25 14:00:50,2022-02-25 21:18:50,2022-02-25 21:00:21,4,301,2,D365.Batch,49,0.0,#0000000150FD40BB,0,1,LO05601479,N000009676,Base,14,LD0119814,0.0,SON0123220,0,1,SID0120657,0,0,Each,meliha,F8301C3,SALES,WOR2020629,2022-02-25 14:00:51,2022-02-25 21:11:58,2022-02-25 21:11:09,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-02-25 21:11:58,Retail Picking,2,2023-02-02 14:08:07.500,1.0,4580988.0,4580939.0,4528.281838369196
325,WOR2115123,868,RETAIL,WOR2115123,0,2022-04-14 15:00:44,2022-04-18 11:26:03,2022-04-18 11:08:03,4,301,2,D365.Batch,61,0.0,#0000000150FD40BB,0,1,LO06304454,N000009676,Base,13,LD0126332,0.0,SON0129915,0,1,SID0127467,0,0,Each,Carolyn,X4401C4,SALES,WOR2115123,2022-04-14 15:00:44,2022-04-18 11:17:07,2022-04-18 11:16:06,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-04-18 11:17:07,Retail Picking,2,2023-02-02 14:08:07.500,1.0,9038097.0,9038036.0,217.01724769519987
574,WOR2444003,1463,RETAIL,6316561020562540,0,2022-10-25 14:30:40,2022-10-25 16:12:22,2022-10-25 15:47:58,4,301,2,D365.Batch,81,0.0,#00000001514FBDC6,0,1,LO08974521,N000005771,Base,2,LD0151300,0.0,SON0161315,0,1,SID0153236,0,0,Each,yahaira,X4401D8,SALES,WOR2444003,2022-10-25 14:30:40,2022-10-25 15:49:58,2022-10-25 15:48:37,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-25 15:49:58,Retail Picking,2,2023-02-02 14:08:07.500,1.0,25470468.0,25470387.0,-108.10956390323467
104,WOR2407740,421,RETAIL,6316561020462120,0,2022-10-04 17:00:14,2022-10-05 12:21:11,2022-10-05 12:14:10,4,301,2,D365.Batch,129,0.0,#00000001514C1759,0,1,LO08754404,N000010695,V1,3,LD0149093,0.0,SON0158247,0,1,SID0150911,0,0,Each,yahaira,X4401A6,SALES,WOR2407740,2022-10-04 17:00:14,2022-10-05 12:19:04,2022-10-05 12:16:55,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 12:19:04,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23729814.0,23729685.0,752.0583201739947
28,WOR2407149,232,RETAIL,6316561020465310,0,2022-10-04 14:30:35,2022-10-05 15:14:53,2022-10-05 15:11:01,4,301,2,D365.Batch,40,0.0,#00000001514C1759,0,1,LO08752079,N000010695,V1,4,LD0149066,0.0,SON0158227,0,1,SID0150897,0,0,Each,yahaira,X4401A6,SALES,WOR2407149,2022-10-04 14:30:35,2022-10-05 15:14:27,2022-10-05 15:13:47,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 15:14:27,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23740337.0,23740297.0,-1429.8526959235342
486,WOR2413703,334,RETAIL,6316561020483750,0,2022-10-06 15:00:40,2022-10-07 19:41:39,2022-10-07 19:36:05,4,301,2,D365.Batch,111,0.0,#00000001514C1ABD,0,1,LO08782937,N000010989,V1,3,LD0149517,0.0,SON0158711,0,1,SID0151369,0,0,Each,rschwarz,X4401A6,SALES,WOR2413703,2022-10-06 15:00:40,2022-10-07 19:40:28,2022-10-07 19:38:37,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-07 19:40:28,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23929098.0,23928987.0,-35.08857891198123
